"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"70","0.3","0.3","1.75",".","linear",-2.97521733670232,0.198772055366216,4752,-3.65821541973746,-2.29221925366718
"71","0.3","0.3","1.75",".","quadratic",0.159163961507304,0.0888935655652411,4752,-0.146282066926416,0.464609989941024
"72","0.3","0.3","1.75",".","cubic",-0.0238335141473513,0.198772055366216,4752,-0.70683159718249,0.659164568887788
"73","0","0","2.1",".","linear",-10.0703694575554,0.198772055366217,4752,-10.7533675405906,-9.38737137452029
"74","0","0","2.1",".","quadratic",0.461256732050501,0.0888935655652423,4752,0.155810703616777,0.766702760484225
"75","0","0","2.1",".","cubic",-0.126830688568092,0.198772055366218,4752,-0.809828771603238,0.556167394467053
"76","0.3","0","2.1",".","linear",-3.66854167789589,0.198772055366212,4752,-4.35153976093102,-2.98554359486077
"77","0.3","0","2.1",".","quadratic",0.17922311866303,0.0888935655652421,4752,-0.126222909770694,0.484669147096753
"78","0.3","0","2.1",".","cubic",-0.0572332399658798,0.198772055366217,4752,-0.740231323001024,0.625764843069265
"79","0","0.3","2.1",".","linear",-8.96270110448039,0.19877205536621,4752,-9.64569918751551,-8.27970302144527
"80","0","0.3","2.1",".","quadratic",0.78554344465922,0.0888935655652413,4752,0.480097416225499,1.09098947309294
"81","0","0.3","2.1",".","cubic",-0.359829656723261,0.198772055366213,4752,-1.04282773975839,0.32316842631187
"82","0.3","0.3","2.1",".","linear",-2.8783295260381,0.198772055366224,4752,-3.56132760907327,-2.19533144300293
"83","0.3","0.3","2.1",".","quadratic",0.138379556514196,0.0888935655652411,4752,-0.167066471919524,0.443825584947916
"84","0.3","0.3","2.1",".","cubic",-0.0524779411888504,0.198772055366218,4752,-0.735476024223996,0.630520141846296
