"","emmeans.vaxrate","emmeans.nu","emmeans.betap","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.nu","contrasts.betap","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"11","0","0.3","1.75","1.4",7.20760894253431,0.0197150117690032,4614,7.16340523383102,7.2518126512376,"vaxrate0 - vaxrate0.3","0","1.5","1.75",1.56265007287022,0.027881237026069,4614,1.5079895137214,1.61731063201904
"12","0.3","0.3","1.75","1.4",6.68911703309941,0.0197150117690031,4614,6.64491332439612,6.7333207418027,"vaxrate0 - vaxrate0.3","0.3","1.5","1.75",0.512207509738615,0.0278812370260691,4614,0.457546950589793,0.566868068887438
"13","0","0","2","1.4",8.01761751764323,0.0197150117690022,4614,7.97341380893994,8.06182122634652,"vaxrate0 - vaxrate0.3","0","1.75","1.75",1.14763074557524,0.0278812370260694,4614,1.09297018642642,1.20229130472407
"14","0.3","0","2","1.4",7.06344059280491,0.0197150117690033,4614,7.01923688410162,7.10764430150821,"vaxrate0 - vaxrate0.3","0.3","1.75","1.75",0.484431521125237,0.0278812370260691,4614,0.429770961976415,0.539092080274059
"15","0","0.3","2","1.4",7.01616782080303,0.0197150117690036,4614,6.97196411209974,7.06037152950632,"vaxrate0 - vaxrate0.3","0","2","1.75",0.829921202736618,0.0278812370260698,4614,0.775260643587794,0.884581761885441
"16","0.3","0.3","2","1.4",6.54857322564173,0.0197150117690048,4614,6.50436951693843,6.59277693434502,"vaxrate0 - vaxrate0.3","0.3","2","1.75",0.478959892460428,0.0278812370260688,4614,0.424299333311606,0.533620451609249
"17","0","0","1.25","1.75",11.2752655159454,0.0197150117690029,4614,11.2310618072421,11.3194692246487,"vaxrate0 - vaxrate0.3","0","1.25","2.1",1.61232162470897,0.0278812370260689,4614,1.55766106556015,1.6669821838578
"18","0.3","0","1.25","1.75",8.43988398071296,0.0197150117690031,4614,8.39568027200967,8.48408768941625,"vaxrate0 - vaxrate0.3","0.3","1.25","2.1",0.568021341354185,0.0278812370260699,4614,0.513360782205361,0.622681900503009
"19","0","0.3","1.25","1.75",7.66331526944289,0.0197150117690031,4614,7.6191115607396,7.70751897814618,"vaxrate0 - vaxrate0.3","0","1.5","2.1",1.1923466219023,0.0278812370260692,4614,1.13768606275348,1.24700718105112
"20","0.3","0.3","1.25","1.75",7.1048161907076,0.0197150117690027,4614,7.06061248200431,7.14901989941089,"vaxrate0 - vaxrate0.3","0.3","1.5","2.1",0.505397457405676,0.0278812370260701,4614,0.450736898256852,0.560058016554501
"21","0","0","1.5","1.75",9.28795030256725,0.0197150117690026,4614,9.24374659386396,9.33215401127054,"vaxrate0 - vaxrate0.3","0","1.75","2.1",0.946587710644554,0.0278812370260694,4614,0.891927151495731,1.00124826979338
"22","0.3","0","1.5","1.75",7.72530022969703,0.0197150117690032,4614,7.68109652099374,7.76950393840032,"vaxrate0 - vaxrate0.3","0.3","1.75","2.1",0.473567904309553,0.02788123702607,4614,0.418907345160729,0.528228463458377
"23","0","0.3","1.5","1.75",7.39705843996038,0.0197150117690029,4614,7.35285473125709,7.44126214866367,"vaxrate0 - vaxrate0.3","0","2","2.1",0.786876381700814,0.028480902124889,4614,0.731040192160382,0.842712571241246
"24","0.3","0.3","1.5","1.75",6.88485093022176,0.0197150117690032,4614,6.84064722151847,6.92905463892505,"vaxrate0 - vaxrate0.3","0.3","2","2.1",0.452492400854174,0.0308282008879869,4614,0.392054383110772,0.512930418597577
"25","0","0","1.75","1.75",8.44908541473751,0.019715011769003,4614,8.40488170603422,8.4932891234408,"vaxrate0 - vaxrate0.3","0","1.25","1.4",2.92819577564857,0.100527229720845,4614,2.73111432689198,3.12527722440515
"26","0.3","0","1.75","1.75",7.30145466916227,0.0197150117690031,4614,7.25725096045898,7.34565837786556,"vaxrate0 - vaxrate0.3","0.3","1.25","1.4",0.608305963930059,0.0278812370260691,4614,0.553645404781237,0.662966523078882
