"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"89",9,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",7.05744311782883
"90",10,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.2523623314265
"91",1,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.38896852197385
"92",2,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.75962491992569
"93",3,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.71790482781098
"94",4,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.4278786923444
"95",5,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",5.98706186002236
"96",6,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.53651009410315
"97",7,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.11746574121895
"98",8,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",5.96967227278944
"99",9,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.45029246655753
"100",10,"1.4","2","0.7","0.7","0","0.01","0.01","0","0",6.24674217205838
"101",1,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.3919809979546
"102",2,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.07687437536019
"103",3,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.16954099687557
"104",4,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",5.80481285388164
"105",5,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.33148702172808
"106",6,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",5.78358418956463
"107",7,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.13259197833396
"108",8,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.43221578286566
"109",9,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.29707420998486
"110",10,"1.75","2","0.7","0.7","0","0.01","0.01","0","0",6.51397267985864
"111",1,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.92221128821617
"112",2,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.89570179859189
"113",3,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.67449937866299
"114",4,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",6.01154264680189
"115",5,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.95136304609846
"116",6,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.92101748221479
"117",7,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",6.05770184960584
"118",8,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.92214919553853
"119",9,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.77919582008334
"120",10,"2.1","2","0.7","0.7","0","0.01","0.01","0","0",5.79171873361299
"121",1,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.06548279698671
"122",2,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",9.17318980983361
"123",3,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.52180165940657
"124",4,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.1080624900367
"125",5,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.88484087705596
"126",6,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.03678414601874
"127",7,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.62351386241479
"128",8,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.57493460514775
"129",9,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.53514562071339
"130",10,"1.4","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.44053370683203
"131",1,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.37330985156426
"132",2,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.66795312529669
"133",3,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.88732152767486
"134",4,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",8.56412730564239
"135",5,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.61551649654689
"136",6,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.63875496430948
"137",7,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.76461936799442
"138",8,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.2811324203995
"139",9,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.15101205444146
"140",10,"1.75","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.8512713646546
"141",1,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",6.9035079254731
"142",2,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.33034199526028
"143",3,"2.1","1.25","0.7","0.7","0.25","0.01","0.01","0","0",7.29812284636274
