"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"147",47,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.39215289343
"148",48,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4336120083579
"149",49,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7274929019123
"150",50,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7000724805471
"151",51,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8709149972507
"152",52,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8323591704343
"153",53,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1872893381562
"154",54,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4421528877407
"155",55,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.5803769868023
"156",56,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4007394424253
"157",57,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4826625862787
"158",58,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.4031597509032
"159",59,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3348218818535
"160",60,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5010790257538
"161",61,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.4668292842348
"162",62,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0752869821122
"163",63,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",13.8725496898835
"164",64,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2955526192973
"165",65,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0374074041836
"166",66,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.707611714814
"167",67,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.4910161652367
"168",68,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0056523853098
"169",69,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0302777368657
"170",70,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.363904605711
"171",71,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.5669493003571
"172",72,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1074362586856
"173",73,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8478456231715
"174",74,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6124143575198
"175",75,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0185345068306
"176",76,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1342890837902
"177",77,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5513461162163
"178",78,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5240687285209
"179",79,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2828816546105
"180",80,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9706172783683
"181",81,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3585870472119
"182",82,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8122733019956
"183",83,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8354020726341
"184",84,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5261883044284
"185",85,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6367285573642
"186",86,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2581796153133
"187",87,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9076325297187
"188",88,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1217433065147
"189",89,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8801394872367
"190",90,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9925030131376
"191",91,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",13.4158349551032
"192",92,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1717113722574
"193",93,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0515197985637
"194",94,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0955593141791
"195",95,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6487502325085
"196",96,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7013422895299
"197",97,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2763090917011
"198",98,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7649000326643
"199",99,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.9450594529221
"200",100,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1254735056221
"201",1,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.72259905621066
"202",2,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.54952476457358
"203",3,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.04591293937051
"204",4,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.68228811346884
"205",5,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.67073911954495
"206",6,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.82365922252299
"207",7,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.45390887968456
"208",8,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.62448808587046
"209",9,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.91771268029267
"210",10,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.73432863998926
"211",11,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.76091613301833
"212",12,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.0515978693843
"213",13,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.77794897723319
"214",14,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.94502836542187
