"","emmeans.nu","emmeans.betap","emmeans.vaxrate","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.betap","contrasts.vaxrate","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"105","0.5","1.75","0","2.1",3.55099464099532,0.0862153473467573,1296,3.3443285130529,3.75766076893774,"nu0.25 - nu0.5","1.75","0","2.1",0.724871199391858,0.121926913502492,1296,0.432601158372554,1.01714124041116
"106","0","2","0","2.1",5.89271012394272,0.0862153473467578,1296,5.6860439960003,6.09937625188515,"nu0 - nu0.25","2","0","2.1",1.9396120936064,0.121926913502493,1296,1.64734205258709,2.2318821346257
"107","0.25","2","0","2.1",3.95309803033633,0.0862153473467587,1296,3.7464319023939,4.15976415827875,"nu0 - nu0.5","2","0","2.1",2.60254261541493,0.121926913502492,1296,2.31027257439563,2.89481265643424
"108","0.5","2","0","2.1",3.29016750852779,0.0862153473467577,1296,3.08350138058537,3.49683363647021,"nu0.25 - nu0.5","2","0","2.1",0.662930521808536,0.121926913502494,1296,0.370660480789228,0.955200562827843
"109","0","1.25","0.25","2.1",7.36681295633958,0.0862153473467573,1296,7.16014682839716,7.573479084282,"nu0 - nu0.25","1.25","0.25","2.1",2.97120954197694,0.121926913502492,1296,2.67893950095764,3.26347958299624
"110","0.25","1.25","0.25","2.1",4.39560341436264,0.0862153473467575,1296,4.18893728642022,4.60226954230506,"nu0 - nu0.5","1.25","0.25","2.1",3.84838821876287,0.121926913502491,1296,3.55611817774356,4.14065825978217
"111","0.5","1.25","0.25","2.1",3.51842473757671,0.0862153473467585,1296,3.31175860963429,3.72509086551913,"nu0.25 - nu0.5","1.25","0.25","2.1",0.877178676785926,0.121926913502492,1296,0.584908635766622,1.16944871780523
"112","0","1.5","0.25","2.1",5.91954244599946,0.0862153473467573,1296,5.71287631805704,6.12620857394187,"nu0 - nu0.25","1.5","0.25","2.1",1.97302830085892,0.121926913502491,1296,1.68075825983962,2.26529834187822
"113","0.25","1.5","0.25","2.1",3.94651414514053,0.0862153473467577,1296,3.73984801719811,4.15318027308295,"nu0 - nu0.5","1.5","0.25","2.1",2.7838886875018,0.121926913502491,1296,2.4916186464825,3.07615872852111
"114","0.5","1.5","0.25","2.1",3.13565375849765,0.0862153473467577,1296,2.92898763055523,3.34231988644007,"nu0.25 - nu0.5","1.5","0.25","2.1",0.810860386642884,0.121926913502492,1296,0.518590345623581,1.10313042766219
"115","0","1.75","0.25","2.1",4.99183586380502,0.086215347346758,1296,4.7851697358626,5.19850199174744,"nu0 - nu0.25","1.75","0.25","2.1",1.39781550239169,0.121926913502492,1296,1.10554546137239,1.690085543411
"116","0.25","1.75","0.25","2.1",3.59402036141333,0.0862153473467577,1296,3.38735423347091,3.80068648935575,"nu0 - nu0.5","1.75","0.25","2.1",1.94243809442365,0.121926913502492,1296,1.65016805340434,2.23470813544295
"117","0.5","1.75","0.25","2.1",3.04939776938137,0.0862153473467577,1296,2.84273164143895,3.25606389732379,"nu0.25 - nu0.5","1.75","0.25","2.1",0.544622592031956,0.121926913502492,1296,0.252352551012652,0.836892633051259
"118","0","2","0.25","2.1",4.40285169172408,0.0862153473467567,1296,4.19618556378166,4.60951781966649,"nu0 - nu0.25","2","0.25","2.1",1.11470827204078,0.12192691350249,1296,0.822438231021481,1.40697831306008
"119","0.25","2","0.25","2.1",3.2881434196833,0.0862153473467573,1296,3.08147729174088,3.49480954762572,"nu0 - nu0.5","2","0.25","2.1",1.54847443810017,0.121926913502489,1296,1.25620439708087,1.84074447911947
"120","0.5","2","0.25","2.1",2.85437725362391,0.0862153473467571,1296,2.64771112568149,3.06104338156633,"nu0.25 - nu0.5","2","0.25","2.1",0.433766166059388,0.121926913502491,1296,0.141496125040087,0.726036207078689
