"","betap","nu","vaxrate","beta","emmean","SE","df","lower.CL","upper.CL"
"45","1.25","0.5","0.75","1.4",2.07624890324375,0.0862153473467584,1296,1.86060727588469,2.29189053060281
"46","1.5","0.5","0.75","1.4",1.95963673950665,0.0862153473467574,1296,1.74399511214759,2.17527836686571
"47","1.75","0.5","0.75","1.4",1.90732880798553,0.0862153473467576,1296,1.69168718062647,2.12297043534459
"48","2","0.5","0.75","1.4",1.77664292098826,0.0862153473467556,1296,1.56100129362921,1.99228454834732
"49","1.25","0","0","1.75",11.3011399008678,0.086215347346757,1296,11.0854982735087,11.5167815282268
"50","1.5","0","0","1.75",8.75123677767088,0.0862153473467569,1296,8.53559515031183,8.96687840502994
"51","1.75","0","0","1.75",7.18311786233429,0.0862153473467571,1296,6.96747623497523,7.39875948969335
"52","2","0","0","1.75",6.19341350864079,0.0862153473467571,1296,5.97777188128173,6.40905513599985
"53","1.25","0.25","0","1.75",5.31119014679508,0.0862153473467578,1296,5.09554851943602,5.52683177415414
"54","1.5","0.25","0","1.75",4.68123057207385,0.0862153473467577,1296,4.46558894471479,4.89687219943291
"55","1.75","0.25","0","1.75",4.36174354080563,0.086215347346757,1296,4.14610191344657,4.57738516816469
"56","2","0.25","0","1.75",4.02156418370813,0.0862153473467575,1296,3.80592255634907,4.23720581106719
"57","1.25","0.5","0","1.75",3.95633900363429,0.0862153473467574,1296,3.74069737627523,4.17198063099335
"58","1.5","0.5","0","1.75",3.65479977160143,0.0862153473467576,1296,3.43915814424237,3.87044139896049
"59","1.75","0.5","0","1.75",3.48425999864657,0.0862153473467576,1296,3.26861837128751,3.69990162600563
"60","2","0.5","0","1.75",3.2738701441352,0.0862153473467576,1296,3.05822851677614,3.48951177149426
"61","1.25","0","0.25","1.75",7.67950184785244,0.0862153473467577,1296,7.46386022049338,7.8951434752115
"62","1.5","0","0.25","1.75",6.09474391264618,0.0862153473467575,1296,5.87910228528712,6.31038554000524
"63","1.75","0","0.25","1.75",5.19271149572924,0.0862153473467583,1296,4.97706986837018,5.4083531230883
"64","2","0","0.25","1.75",4.5158201489629,0.0862153473467578,1296,4.30017852160384,4.73146177632197
"65","1.25","0.25","0.25","1.75",4.50581455623044,0.0862153473467574,1296,4.29017292887138,4.7214561835895
"66","1.5","0.25","0.25","1.75",3.90017182930988,0.0862153473467574,1296,3.68453020195082,4.11581345666894
