"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"171","0.5","0.5","1.4",".","cubic",-0.127751366454948,0.385566754742213,1296,-1.5665757062153,1.31107297330541
"172","0","0.75","1.4",".","linear",-2.2313396788559,0.385566754742211,1296,-3.67016401861625,-0.792515339095553
"173","0","0.75","1.4",".","quadratic",-0.0533389507868134,0.172430694693515,1296,-0.696800757063893,0.590122855490266
"174","0","0.75","1.4",".","cubic",0.198156461333843,0.385566754742214,1296,-1.24066787842652,1.6369808010942
"175","0.25","0.75","1.4",".","linear",-1.50104326319394,0.385566754742213,1296,-2.93986760295429,-0.062218923433585
"176","0.25","0.75","1.4",".","quadratic",0.102364811261374,0.172430694693515,1296,-0.541096995015705,0.745826617538453
"177","0.25","0.75","1.4",".","cubic",0.0964079837003579,0.385566754742213,1296,-1.34241635606,1.53523232346071
"178","0.5","0.75","1.4",".","linear",-0.951125878287577,0.385566754742216,1296,-2.38995021804794,0.487698461472788
"179","0.5","0.75","1.4",".","quadratic",-0.0140737232601665,0.172430694693515,1296,-0.657535529537246,0.629388083016913
"180","0.5","0.75","1.4",".","cubic",-0.142682187692136,0.385566754742211,1296,-1.58150652745248,1.29614215206821
"181","0","0","1.75",".","linear",-16.8912980920175,0.385566754742215,1296,-18.3301224317779,-15.4524737522572
"182","0","0","1.75",".","quadratic",1.56019876950339,0.172430694693514,1296,0.916736963226308,2.20366057578046
"183","0","0","1.75",".","cubic",-0.403369646217191,0.385566754742211,1296,-1.84219398597754,1.03545469354316
"184","0.25","0","1.75",".","linear",-4.18836492052908,0.385566754742213,1296,-5.62718926028943,-2.74954058076872
"185","0.25","0","1.75",".","quadratic",0.289780217623736,0.172430694693515,1296,-0.353681588653343,0.933242023900815
"186","0.25","0","1.75",".","cubic",-0.331164869282291,0.385566754742211,1296,-1.76998920904264,1.10765947047806
"187","0.5","0","1.75",".","linear",-2.21794635145213,0.385566754742213,1296,-3.65677069121248,-0.779122011691776
"188","0.5","0","1.75",".","quadratic",0.0911493775214835,0.172430694693516,1296,-0.552312428755598,0.734611183798565
"189","0.5","0","1.75",".","cubic",-0.170849540634502,0.385566754742212,1296,-1.60967388039485,1.26797479912585
"190","0","0.25","1.75",".","linear",-10.3930775135855,0.385566754742212,1296,-11.8319018533459,-8.95425317382518
"191","0","0.25","1.75",".","quadratic",0.90786658843992,0.172430694693516,1296,0.264404782162837,1.551328394717
"192","0","0.25","1.75",".","cubic",-0.457584448138721,0.385566754742213,1296,-1.89640878789908,0.981239891621634
"193","0.25","0.25","1.75",".","linear",-3.93952899191387,0.385566754742212,1296,-5.37835333167422,-2.50070465215352
"194","0.25","0.25","1.75",".","quadratic",0.344281059559778,0.172430694693515,1296,-0.299180746717303,0.987742865836858
"195","0.25","0.25","1.75",".","cubic",-0.197746489746418,0.385566754742213,1296,-1.63657082950677,1.24107785001394
"196","0.5","0.25","1.75",".","linear",-2.41747275035707,0.385566754742213,1296,-3.85629709011743,-0.978648410596718
"197","0.5","0.25","1.75",".","quadratic",0.175986329042206,0.172430694693515,1296,-0.467475477234874,0.819448135319286
"198","0.5","0.25","1.75",".","cubic",-0.166334778032888,0.385566754742213,1296,-1.60515911779324,1.27248956172747
"199","0","0.5","1.75",".","linear",-5.49707982051456,0.385566754742213,1296,-6.93590416027492,-4.05825548075421
"200","0","0.5","1.75",".","quadratic",0.508398921333031,0.172430694693515,1296,-0.13506288494405,1.15186072761011
"201","0","0.5","1.75",".","cubic",0.000830710335765721,0.385566754742213,1296,-1.43799362942459,1.43965505009612
"202","0.25","0.5","1.75",".","linear",-2.65982269742495,0.385566754742212,1296,-4.0986470371853,-1.22099835766459
