"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"70","betap1.5 - betap1.75","0.5","0.75","1.4",0.0523079315211169,0.121926913502491,1296,-0.269861301273929,0.374477164316163
"71","betap1.5 - betap2","0.5","0.75","1.4",0.182993818518385,0.121926913502492,1296,-0.139175414276662,0.505163051313433
"72","betap1.75 - betap2","0.5","0.75","1.4",0.130685886997268,0.121926913502492,1296,-0.191483345797779,0.452855119792315
"73","betap1.25 - betap1.5","0","0","1.75",2.54990312319688,0.121926913502491,1296,2.22773389040184,2.87207235599193
"74","betap1.25 - betap1.75","0","0","1.75",4.11802203853348,0.121926913502492,1296,3.79585280573843,4.44019127132853
"75","betap1.25 - betap2","0","0","1.75",5.10772639222698,0.121926913502492,1296,4.78555715943193,5.42989562502202
"76","betap1.5 - betap1.75","0","0","1.75",1.5681189153366,0.121926913502492,1296,1.24594968254155,1.89028814813164
"77","betap1.5 - betap2","0","0","1.75",2.55782326903009,0.121926913502491,1296,2.23565403623505,2.87999250182514
"78","betap1.75 - betap2","0","0","1.75",0.989704353693498,0.121926913502492,1296,0.66753512089845,1.31187358648855
"79","betap1.25 - betap1.5","0.25","0","1.75",0.629959574721234,0.121926913502492,1296,0.307790341926186,0.952128807516282
"80","betap1.25 - betap1.75","0.25","0","1.75",0.949446605989454,0.121926913502492,1296,0.627277373194407,1.2716158387845
"81","betap1.25 - betap2","0.25","0","1.75",1.28962596308695,0.121926913502492,1296,0.967456730291903,1.611795195882
"82","betap1.5 - betap1.75","0.25","0","1.75",0.31948703126822,0.121926913502492,1296,-0.00268220152682663,0.641656264063267
"83","betap1.5 - betap2","0.25","0","1.75",0.659666388365718,0.121926913502492,1296,0.33749715557067,0.981835621160765
"84","betap1.75 - betap2","0.25","0","1.75",0.340179357097498,0.121926913502492,1296,0.0180101243024507,0.662348589892545
"85","betap1.25 - betap1.5","0.5","0","1.75",0.301539232032855,0.121926913502492,1296,-0.0206300007621922,0.623708464827902
"86","betap1.25 - betap1.75","0.5","0","1.75",0.472079004987718,0.121926913502492,1296,0.14990977219267,0.794248237782766
"87","betap1.25 - betap2","0.5","0","1.75",0.682468859499089,0.121926913502492,1296,0.360299626704042,1.00463809229414
"88","betap1.5 - betap1.75","0.5","0","1.75",0.170539772954862,0.121926913502492,1296,-0.151629459840185,0.49270900574991
"89","betap1.5 - betap2","0.5","0","1.75",0.380929627466234,0.121926913502492,1296,0.0587603946711857,0.703098860261282
