"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"81","vaxrate0 - vaxrate0.75","0.25","1.25","1.75",2.94543064008256,0.121926913502492,1296,2.62326140728751,3.2675998728776
"82","vaxrate0.25 - vaxrate0.5","0.25","1.25","1.75",1.00944911428159,0.121926913502492,1296,0.687279881486543,1.33161834707664
"83","vaxrate0.25 - vaxrate0.75","0.25","1.25","1.75",2.14005504951791,0.121926913502492,1296,1.81788581672287,2.46222428231296
"84","vaxrate0.5 - vaxrate0.75","0.25","1.25","1.75",1.13060593523632,0.121926913502492,1296,0.808436702441274,1.45277516803137
"85","vaxrate0 - vaxrate0.25","0.5","1.25","1.75",0.393434017151243,0.121926913502492,1296,0.0712647843561965,0.71560324994629
"86","vaxrate0 - vaxrate0.5","0.5","1.25","1.75",1.12212175281259,0.121926913502492,1296,0.79995252001754,1.44429098560763
"87","vaxrate0 - vaxrate0.75","0.5","1.25","1.75",1.79542784271644,0.121926913502492,1296,1.47325860992139,2.11759707551149
"88","vaxrate0.25 - vaxrate0.5","0.5","1.25","1.75",0.728687735661344,0.121926913502492,1296,0.406518502866296,1.05085696845639
"89","vaxrate0.25 - vaxrate0.75","0.5","1.25","1.75",1.4019938255652,0.121926913502492,1296,1.07982459277015,1.72416305836025
"90","vaxrate0.5 - vaxrate0.75","0.5","1.25","1.75",0.673306089903853,0.121926913502492,1296,0.351136857108805,0.995475322698901
"91","vaxrate0 - vaxrate0.25","0","1.5","1.75",2.65649286502471,0.121926913502492,1296,2.33432363222966,2.97866209781975
"92","vaxrate0 - vaxrate0.5","0","1.5","1.75",4.6853013074287,0.121926913502492,1296,4.36313207463365,5.00747054022375
"93","vaxrate0 - vaxrate0.75","0","1.5","1.75",6.30476056211393,0.121926913502491,1296,5.98259132931888,6.62692979490898
"94","vaxrate0.25 - vaxrate0.5","0","1.5","1.75",2.02880844240399,0.121926913502492,1296,1.70663920960895,2.35097767519904
"95","vaxrate0.25 - vaxrate0.75","0","1.5","1.75",3.64826769708923,0.121926913502492,1296,3.32609846429418,3.97043692988427
"96","vaxrate0.5 - vaxrate0.75","0","1.5","1.75",1.61945925468523,0.121926913502492,1296,1.29729002189018,1.94162848748028
"97","vaxrate0 - vaxrate0.25","0.25","1.5","1.75",0.781058742763968,0.121926913502492,1296,0.458889509968921,1.10322797555902
"98","vaxrate0 - vaxrate0.5","0.25","1.5","1.75",1.47446298390555,0.121926913502492,1296,1.1522937511105,1.7966322167006
"99","vaxrate0 - vaxrate0.75","0.25","1.5","1.75",2.5402376750827,0.121926913502492,1296,2.21806844228766,2.86240690787775
"100","vaxrate0.25 - vaxrate0.5","0.25","1.5","1.75",0.69340424114158,0.121926913502492,1296,0.371235008346532,1.01557347393663
"101","vaxrate0.25 - vaxrate0.75","0.25","1.5","1.75",1.75917893231874,0.121926913502492,1296,1.43700969952369,2.08134816511378
"102","vaxrate0.5 - vaxrate0.75","0.25","1.5","1.75",1.06577469117715,0.121926913502492,1296,0.743605458382107,1.3879439239722
"103","vaxrate0 - vaxrate0.25","0.5","1.5","1.75",0.454902180281776,0.121926913502491,1296,0.13273294748673,0.777071413076822
"104","vaxrate0 - vaxrate0.5","0.5","1.5","1.75",0.993389872641558,0.121926913502492,1296,0.671220639846511,1.31555910543661
"105","vaxrate0 - vaxrate0.75","0.5","1.5","1.75",1.6359919344136,0.121926913502492,1296,1.31382270161855,1.95816116720865
"106","vaxrate0.25 - vaxrate0.5","0.5","1.5","1.75",0.538487692359782,0.121926913502492,1296,0.216318459564735,0.860656925154829
"107","vaxrate0.25 - vaxrate0.75","0.5","1.5","1.75",1.18108975413182,0.121926913502492,1296,0.858920521336777,1.50325898692687
"108","vaxrate0.5 - vaxrate0.75","0.5","1.5","1.75",0.642602061772042,0.121926913502492,1296,0.320432828976994,0.96477129456709
"109","vaxrate0 - vaxrate0.25","0","1.75","1.75",1.99040636660505,0.121926913502492,1296,1.66823713381,2.3125755994001
"110","vaxrate0 - vaxrate0.5","0","1.75","1.75",3.66713958724429,0.121926913502492,1296,3.34497035444924,3.98930882003934
"111","vaxrate0 - vaxrate0.75","0","1.75","1.75",4.94349635782964,0.121926913502492,1296,4.6213271250346,5.26566559062469
"112","vaxrate0.25 - vaxrate0.5","0","1.75","1.75",1.67673322063924,0.121926913502492,1296,1.35456398784419,1.99890245343429
"113","vaxrate0.25 - vaxrate0.75","0","1.75","1.75",2.9530899912246,0.121926913502492,1296,2.63092075842955,3.27525922401964
"114","vaxrate0.5 - vaxrate0.75","0","1.75","1.75",1.27635677058535,0.121926913502492,1296,0.954187537790306,1.5985260033804
"115","vaxrate0 - vaxrate0.25","0.25","1.75","1.75",0.79620066376321,0.121926913502492,1296,0.474031430968162,1.11836989655826
"116","vaxrate0 - vaxrate0.5","0.25","1.75","1.75",1.50607104962276,0.121926913502491,1296,1.18390181682772,1.82824028241781
"117","vaxrate0 - vaxrate0.75","0.25","1.75","1.75",2.34352672421649,0.121926913502492,1296,2.02135749142144,2.66569595701154
"118","vaxrate0.25 - vaxrate0.5","0.25","1.75","1.75",0.709870385859553,0.121926913502492,1296,0.387701153064505,1.0320396186546
"119","vaxrate0.25 - vaxrate0.75","0.25","1.75","1.75",1.54732606045328,0.121926913502492,1296,1.22515682765823,1.86949529324833
"120","vaxrate0.5 - vaxrate0.75","0.25","1.75","1.75",0.837455674593726,0.121926913502492,1296,0.515286441798679,1.15962490738877
"121","vaxrate0 - vaxrate0.25","0.5","1.75","1.75",0.476209248952754,0.121926913502492,1296,0.154040016157707,0.798378481747802
"122","vaxrate0 - vaxrate0.5","0.5","1.75","1.75",1.02155159946292,0.121926913502492,1296,0.699382366667872,1.34372083225797
"123","vaxrate0 - vaxrate0.75","0.5","1.75","1.75",1.65196139054415,0.121926913502492,1296,1.32979215774911,1.9741306233392
"124","vaxrate0.25 - vaxrate0.5","0.5","1.75","1.75",0.545342350510166,0.121926913502492,1296,0.223173117715118,0.867511583305214
"125","vaxrate0.25 - vaxrate0.75","0.5","1.75","1.75",1.1757521415914,0.121926913502492,1296,0.85358290879635,1.49792137438645
"126","vaxrate0.5 - vaxrate0.75","0.5","1.75","1.75",0.630409791081232,0.121926913502492,1296,0.308240558286185,0.95257902387628
"127","vaxrate0 - vaxrate0.25","0","2","1.75",1.67759335967789,0.121926913502492,1296,1.35542412688284,1.99976259247293
"128","vaxrate0 - vaxrate0.5","0","2","1.75",2.97277761286858,0.121926913502492,1296,2.65060838007353,3.29494684566363
"129","vaxrate0 - vaxrate0.75","0","2","1.75",4.07999344897736,0.121926913502492,1296,3.75782421618231,4.40216268177241
"130","vaxrate0.25 - vaxrate0.5","0","2","1.75",1.29518425319069,0.121926913502492,1296,0.973015020395646,1.61735348598574
