"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"158","nation","England","E92000001","2021-05-16","V-20DEC-01 (Alpha)",355702,35.37
"159","nation","England","E92000001","2021-05-16","V-21APR-02 (Delta B.1.617.2)",355702,63.01
"160","nation","England","E92000001","2021-05-16","V-21OCT-01 (Delta AY 4.2)",0,0
"161","nation","England","E92000001","2021-05-16","V-22DEC-01 (Omicron CH.1.1)",0,0
"162","nation","England","E92000001","2021-05-16","V-22JUL-01 (Omicron BA.2.75)",0,0
"163","nation","England","E92000001","2021-05-16","V-22OCT-01 (Omicron BQ.1)",0,0
"164","nation","England","E92000001","2021-05-16","VOC-21NOV-01 (Omicron BA.1)",0,0
"165","nation","England","E92000001","2021-05-16","VOC-22APR-03 (Omicron BA.4)",0,0
"166","nation","England","E92000001","2021-05-16","VOC-22APR-04 (Omicron BA.5)",0,0
"167","nation","England","E92000001","2021-05-16","VOC-22JAN-01 (Omicron BA.2)",0,0
"168","nation","England","E92000001","2021-05-16","unclassified_variant",0,0
"169","nation","England","E92000001","2021-05-23","Other",367033,0.89
"170","nation","England","E92000001","2021-05-23","V-20DEC-01 (Alpha)",367033,18.5
"171","nation","England","E92000001","2021-05-23","V-21APR-02 (Delta B.1.617.2)",367033,80.61
"172","nation","England","E92000001","2021-05-23","V-21OCT-01 (Delta AY 4.2)",0,0
"173","nation","England","E92000001","2021-05-23","V-22DEC-01 (Omicron CH.1.1)",0,0
"174","nation","England","E92000001","2021-05-23","V-22JUL-01 (Omicron BA.2.75)",0,0
"175","nation","England","E92000001","2021-05-23","V-22OCT-01 (Omicron BQ.1)",0,0
"176","nation","England","E92000001","2021-05-23","VOC-21NOV-01 (Omicron BA.1)",0,0
"177","nation","England","E92000001","2021-05-23","VOC-22APR-03 (Omicron BA.4)",0,0
"178","nation","England","E92000001","2021-05-23","VOC-22APR-04 (Omicron BA.5)",0,0
"179","nation","England","E92000001","2021-05-23","VOC-22JAN-01 (Omicron BA.2)",0,0
"180","nation","England","E92000001","2021-05-23","unclassified_variant",0,0
"181","nation","England","E92000001","2021-05-30","Other",385074,0.44
"182","nation","England","E92000001","2021-05-30","V-20DEC-01 (Alpha)",385074,9.22
"183","nation","England","E92000001","2021-05-30","V-21APR-02 (Delta B.1.617.2)",385074,90.34
"184","nation","England","E92000001","2021-05-30","V-21OCT-01 (Delta AY 4.2)",0,0
"185","nation","England","E92000001","2021-05-30","V-22DEC-01 (Omicron CH.1.1)",0,0
"186","nation","England","E92000001","2021-05-30","V-22JUL-01 (Omicron BA.2.75)",0,0
"187","nation","England","E92000001","2021-05-30","V-22OCT-01 (Omicron BQ.1)",0,0
"188","nation","England","E92000001","2021-05-30","VOC-21NOV-01 (Omicron BA.1)",0,0
"189","nation","England","E92000001","2021-05-30","VOC-22APR-03 (Omicron BA.4)",0,0
"190","nation","England","E92000001","2021-05-30","VOC-22APR-04 (Omicron BA.5)",0,0
"191","nation","England","E92000001","2021-05-30","VOC-22JAN-01 (Omicron BA.2)",0,0
"192","nation","England","E92000001","2021-05-30","unclassified_variant",0,0
"193","nation","England","E92000001","2021-06-06","Other",403933,0.26
"194","nation","England","E92000001","2021-06-06","V-20DEC-01 (Alpha)",403933,4.64
"195","nation","England","E92000001","2021-06-06","V-21APR-02 (Delta B.1.617.2)",403933,95.09
"196","nation","England","E92000001","2021-06-06","V-21OCT-01 (Delta AY 4.2)",403933,0.01
"197","nation","England","E92000001","2021-06-06","V-22DEC-01 (Omicron CH.1.1)",0,0
"198","nation","England","E92000001","2021-06-06","V-22JUL-01 (Omicron BA.2.75)",0,0
"199","nation","England","E92000001","2021-06-06","V-22OCT-01 (Omicron BQ.1)",0,0
"200","nation","England","E92000001","2021-06-06","VOC-21NOV-01 (Omicron BA.1)",0,0
"201","nation","England","E92000001","2021-06-06","VOC-22APR-03 (Omicron BA.4)",0,0
"202","nation","England","E92000001","2021-06-06","VOC-22APR-04 (Omicron BA.5)",0,0
"203","nation","England","E92000001","2021-06-06","VOC-22JAN-01 (Omicron BA.2)",0,0
"204","nation","England","E92000001","2021-06-06","unclassified_variant",0,0
"205","nation","England","E92000001","2021-06-13","Other",418672,0.18
"206","nation","England","E92000001","2021-06-13","V-20DEC-01 (Alpha)",418672,1.63
"207","nation","England","E92000001","2021-06-13","V-21APR-02 (Delta B.1.617.2)",418672,98.19
"208","nation","England","E92000001","2021-06-13","V-21OCT-01 (Delta AY 4.2)",0,0
"209","nation","England","E92000001","2021-06-13","V-22DEC-01 (Omicron CH.1.1)",0,0
"210","nation","England","E92000001","2021-06-13","V-22JUL-01 (Omicron BA.2.75)",0,0
"211","nation","England","E92000001","2021-06-13","V-22OCT-01 (Omicron BQ.1)",0,0
"212","nation","England","E92000001","2021-06-13","VOC-21NOV-01 (Omicron BA.1)",0,0
"213","nation","England","E92000001","2021-06-13","VOC-22APR-03 (Omicron BA.4)",0,0
"214","nation","England","E92000001","2021-06-13","VOC-22APR-04 (Omicron BA.5)",0,0
